Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;2712;3960;14,50
DI x pré;2750;4014;14,50
DI x pré;2812;4105;14,50
DI x pré;2844;4154;14,49
DI x pré;2874;4196;14,49
DI x pré;2935;4287;14,48
DI x pré;2960;4322;14,48
DI x pré;2999;4378;14,48
DI x pré;3061;4470;14,47
DI x pré;3095;4518;14,46
DI x pré;3126;4561;14,46
DI x pré;3186;4651;14,46
DI x pré;3206;4680;14,46
DI x pré;3250;4742;14,46
DI x pré;3313;4835;14,45
DI x pré;3346;4882;14,45
DI x pré;3376;4926;14,45
DI x pré;3438;5016;14,45
DI x pré;3455;5040;14,45
DI x pré;3503;5108;14,44
DI x pré;3566;5201;14,44
DI x pré;3596;5248;14,44
DI x pré;3628;5292;14,44
DI x pré;3687;5381;14,44
DI x pré;3700;5400;14,44
DI x pré;3752;5473;14,44
DI x pré;3818;5568;14,43
DI x pré;3827;5582;14,43
DI x pré;3880;5661;14,43
DI x pré;3938;5746;14,43
DI x pré;4003;5838;14,43
DI x pré;4069;5932;14,43
DI x pré;4129;6023;14,43
DI x pré;4190;6111;14,42
DI x pré;4255;6205;14,42
DI x pré;4317;6296;14,42
DI x pré;4379;6387;14,42
DI x pré;4440;6478;14,42
DI x pré;4504;6569;14,42
DI x pré;4567;6662;14,42
DI x pré;4632;6753;14,41
DI x pré;4690;6842;14,41
DI x pré;4755;6934;14,41
DI x pré;4878;7118;14,41
DI x pré;4934;7200;14,41
DI x pré;5004;7299;14,41
DI x pré;5129;7483;14,41
DI x pré;5253;7664;14,40
DI x pré;5381;7852;14,40
DI x pré;5505;8032;14,40
DI x pré;5629;8214;14,40
DI x pré;5754;8396;14,40
DI x pré;5881;8579;14,39
DI x pré;6005;8760;14,39
DI x pré;6170;9000;14,39
DI x pré;7194;10496;14,38
DI x pré;7405;10800;14,38
DI x pré;8511;12414;14,37
